task,field,word,onset,exact,acceptable,sentence
zenker,algae_01,very,ve,ry,very,"Algae are ve[ry] important bec[ause] they ma[ke] oxygen, wh[ich] humans and other animals ne[ed] to bre[athe]."
zenker,algae_02,because,bec,ause,because,"Algae are ve[ry] important bec[ause] they ma[ke] oxygen, wh[ich] humans and other animals ne[ed] to bre[athe]."
zenker,algae_03,make,ma,ke,make,"Algae are ve[ry] important bec[ause] they ma[ke] oxygen, wh[ich] humans and other animals ne[ed] to bre[athe]."
zenker,algae_04,which,wh,ich,which,"Algae are ve[ry] important bec[ause] they ma[ke] oxygen, wh[ich] humans and other animals ne[ed] to bre[athe]."
zenker,algae_05,need,ne,ed,need,"Algae are ve[ry] important bec[ause] they ma[ke] oxygen, wh[ich] humans and other animals ne[ed] to bre[athe]."
zenker,algae_06,breathe,bre,athe,breathe,"Algae are ve[ry] important bec[ause] they ma[ke] oxygen, wh[ich] humans and other animals ne[ed] to bre[athe]."
zenker,algae_07,seaweed,sea,weed,seaweed,"Some algae, such as sea[weed], look li[ke] plants."
zenker,algae_08,like,li,ke,like,"Some algae, such as sea[weed], look li[ke] plants."
zenker,algae_09,However,how,ever,However,"How[ever], algae are actu[ally] neither plants n[or] animals."
zenker,algae_10,actually,actu,ally,actually,"How[ever], algae are actu[ally] neither plants n[or] animals."
zenker,algae_11,nor,n,or,nor,"How[ever], algae are actu[ally] neither plants n[or] animals."
zenker,algae_12,Instead,ins,tead,Instead,"Ins[tead], they bel[ong] to a gr[oup] of living things cal[led] protists."
zenker,algae_13,belong,bel,ong,belong,"Ins[tead], they bel[ong] to a gr[oup] of living things cal[led] protists."
zenker,algae_14,group,gr,oup,group,"Ins[tead], they bel[ong] to a gr[oup] of living things cal[led] protists."
zenker,algae_15,called,cal,led,called,"Ins[tead], they bel[ong] to a gr[oup] of living things cal[led] protists."
zenker,algae_16,There,th,ere,There,"Th[ere] are ma[ny] spe[cies], or ty[pes], of algae."
zenker,algae_17,many,ma,ny,many,"Th[ere] are ma[ny] spe[cies], or ty[pes], of algae."
zenker,algae_18,species,spe,cies,species,"Th[ere] are ma[ny] spe[cies], or ty[pes], of algae."
zenker,algae_19,types,ty,pes,types,"Th[ere] are ma[ny] spe[cies], or ty[pes], of algae."
zenker,algae_20,most,mo,st,most,"They are mo[st] commonly found in bod[ies] of wa[ter], such as oce[ans], rivers, la[kes], streams, po[nds], and marshes."
zenker,algae_21,bodies,bod,ies,bodies,"They are mo[st] commonly found in bod[ies] of wa[ter], such as oce[ans], rivers, la[kes], streams, po[nds], and marshes."
zenker,algae_22,water,wa,ter,water,"They are mo[st] commonly found in bod[ies] of wa[ter], such as oce[ans], rivers, la[kes], streams, po[nds], and marshes."
zenker,algae_23,oceans,oce,ans,oceans,"They are mo[st] commonly found in bod[ies] of wa[ter], such as oce[ans], rivers, la[kes], streams, po[nds], and marshes."
zenker,algae_24,lakes,la,kes,lakes,"They are mo[st] commonly found in bod[ies] of wa[ter], such as oce[ans], rivers, la[kes], streams, po[nds], and marshes."
zenker,algae_25,ponds,po,nds,ponds,"They are mo[st] commonly found in bod[ies] of wa[ter], such as oce[ans], rivers, la[kes], streams, po[nds], and marshes."
zenker,noise_26,generated,gene,rated,generated,"Noise pollution is commonly gene[rated] inside indus[trial] facilities and other workp[laces], but it also co[mes] from hig[hway], railway, and airp[lane] traffic and from outdoor constr[uction] activities."
zenker,noise_27,industrial,indus,trial,industrial,"Noise pollution is commonly gene[rated] inside indus[trial] facilities and other workp[laces], but it also co[mes] from hig[hway], railway, and airp[lane] traffic and from outdoor constr[uction] activities."
zenker,noise_28,workplaces,workp,laces,workplaces,"Noise pollution is commonly gene[rated] inside indus[trial] facilities and other workp[laces], but it also co[mes] from hig[hway], railway, and airp[lane] traffic and from outdoor constr[uction] activities."
zenker,noise_29,comes,co,mes,comes,"Noise pollution is commonly gene[rated] inside indus[trial] facilities and other workp[laces], but it also co[mes] from hig[hway], railway, and airp[lane] traffic and from outdoor constr[uction] activities."
zenker,noise_30,highway,hig,hway,highway,"Noise pollution is commonly gene[rated] inside indus[trial] facilities and other workp[laces], but it also co[mes] from hig[hway], railway, and airp[lane] traffic and from outdoor constr[uction] activities."
zenker,noise_31,airplane,airp,lane,airplane,"Noise pollution is commonly gene[rated] inside indus[trial] facilities and other workp[laces], but it also co[mes] from hig[hway], railway, and airp[lane] traffic and from outdoor constr[uction] activities."
zenker,noise_32,construction,constr,uction,construction,"Noise pollution is commonly gene[rated] inside indus[trial] facilities and other workp[laces], but it also co[mes] from hig[hway], railway, and airp[lane] traffic and from outdoor constr[uction] activities."
zenker,noise_33,more,mo,re,more,Noise is mo[re] than a me[re] nuisance.
zenker,noise_34,mere,me,re,mere,Noise is mo[re] than a me[re] nuisance.
zenker,noise_35,certain,cer,tain,certain,"At cer[tain] levels and dura[tions] of exposure, it can cause phys[ical] damage to the ear[drum] and the sens[itive] hairs of the in[ner] ear and res[ult] in temp[orary] or perm[anent] hearing loss."
zenker,noise_36,durations,dura,tions,durations,"At cer[tain] levels and dura[tions] of exposure, it can cause phys[ical] damage to the ear[drum] and the sens[itive] hairs of the in[ner] ear and res[ult] in temp[orary] or perm[anent] hearing loss."
zenker,noise_37,physical,phys,ical,physical,"At cer[tain] levels and dura[tions] of exposure, it can cause phys[ical] damage to the ear[drum] and the sens[itive] hairs of the in[ner] ear and res[ult] in temp[orary] or perm[anent] hearing loss."
zenker,noise_38,eardrum,ear,drum,eardrum,"At cer[tain] levels and dura[tions] of exposure, it can cause phys[ical] damage to the ear[drum] and the sens[itive] hairs of the in[ner] ear and res[ult] in temp[orary] or perm[anent] hearing loss."
zenker,noise_39,sensitive,sens,itive,sensitive,"At cer[tain] levels and dura[tions] of exposure, it can cause phys[ical] damage to the ear[drum] and the sens[itive] hairs of the in[ner] ear and res[ult] in temp[orary] or perm[anent] hearing loss."
